balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=4,p=16,0 bytes,0 bytes,0 bytes,0 bytes,24.8 KB,5.8 MB,132 MB,918.8 MB,3.3 GB,7.7 GB,14 GB,21.4 GB,28.9 GB,36.2 GB,42.7 GB
b=4,p=17,0 bytes,0 bytes,0 bytes,0 bytes,46.1 KB,15 MB,417.5 MB,3.3 GB,12.6 GB,31.4 GB,59.3 GB,93.1 GB,128.8 GB,163.5 GB,195.1 GB
b=4,p=18,0 bytes,0 bytes,0 bytes,0 bytes,85.3 KB,39.1 MB,1.3 GB,11.8 GB,48.9 GB,128.4 GB,251.8 GB,406.4 GB,574.3 GB,739.9 GB,892.9 GB
b=4,p=19,0 bytes,0 bytes,0 bytes,0 bytes,159.3 KB,102.3 MB,4.2 GB,42.3 GB,190.1 GB,526.5 GB,1.1 TB,1.8 TB,2.6 TB,3.4 TB,4.1 TB
b=4,p=20,0 bytes,0 bytes,0 bytes,0 bytes,297.2 KB,268.6 MB,13.5 GB,152.4 GB,741.9 GB,2.2 TB,4.6 TB,7.8 TB,11.5 TB,15.2 TB,18.8 TB
b=5,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=5,p=2,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,8 bytes,16 bytes,24 bytes,32 bytes,40 bytes,40 bytes,40 bytes,40 bytes,40 bytes,40 bytes
b=5,p=3,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,16 bytes,48 bytes,88 bytes,128 bytes,160 bytes,184 bytes,208 bytes,224 bytes,232 bytes,240 bytes
b=5,p=4,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,24 bytes,112 bytes,272 bytes,464 bytes,648 bytes,800 bytes,952 bytes,1.1 KB,1.1 KB,1.2 KB
b=5,p=5,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,48 bytes,304 bytes,880 bytes,1.7 KB,2.7 KB,3.7 KB,4.6 KB,5.2 KB,5.8 KB,6.3 KB
b=5,p=6,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,72 bytes,728 bytes,2.8 KB,6.4 KB,10.9 KB,15.6 KB,20.9 KB,25.5 KB,29.2 KB,32 KB
b=5,p=7,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,136 bytes,1.8 KB,8.8 KB,24 KB,46.1 KB,71.6 KB,96.9 KB,120.1 KB,144.8 KB,164.8 KB
b=5,p=8,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,224 bytes,4.2 KB,26.7 KB,86.6 KB,189 KB,320.6 KB,461.6 KB,597.3 KB,719 KB,823.7 KB
b=5,p=9,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,416 bytes,11 KB,78.4 KB,306.2 KB,759.8 KB,1.4 MB,2.2 MB,2.9 MB,3.7 MB,4.3 MB
b=5,p=10,0 bytes,0 bytes,0 bytes,0 bytes,0 bytes,728 bytes,28.4 KB,255.6 KB,1 MB,3 MB,6.1 MB,10.1 MB,14.4 MB,18.6 MB,22.4 MB
